Property Name,Address,Phone,Phone 2,Phone 3,HotelRating,state,cityName,timezone
InTown Suites Albany,2731 Dawson Road AlbanyGeorgia 31707 ,229-436-7775,229-436-9119,,TwoStar,georgia,"Albany,   Georgia",Eastern
Mountain Run at Boyne,3230 Mountain Edge Road Boyne FallsMichigan 49713 ,231-549-5700,231-549-5710,,ThreeStar,michigan,"Boyne Falls,   Michigan",Eastern
Tortuga Beach Club,959 East Gulf Drive Sanibel IslandFlorida 33957 ,239-472-0400,239-472-6540,,FourStar,florida,"Fort Myers,   Florida",Eastern
Harmony House Inn Benjamin Ellis House,215 Pollock Street New BernNorth Carolina 28560 ,252-636-3810,252-259-2311,,ThreeStar,north carolina,"Jacksonville,   North Carolina",Eastern
Magical Clubhouse,7906 Canary Palm Ct KissimmeeFlorida 34747 ,407-530-7427,254-301-8443,,ThreeStar,florida,"Kissimmee,   Florida",Eastern
Rosemont Inn Resort B&B,83 Lakeshore Drive PO Box 857DouglasMichigan 49406-0857 ,888-767-3666,269-857-2637,,ThreeStar,michigan,"Douglas,   Michigan",Eastern
Lodge And Cottages At Primland,2000 Busted Rock Road Meadows of DanVirginia 24120 ,276-222-3800,276-222-3816,,FourStar,virginia,"Ararat,   Virginia",Eastern
Villa Nova Motel,8601 Atlantic Avenue Wildwood CrestNew Jersey 08260 ,609-522-1419,302-239-9592,,ThreeStar,new jersey,"Wildwood Crest,   New Jersey",Eastern
Luxury Inn,547 East Absecon Boulevard AbseconNew Jersey 08201 ,609-910-4980,302-245-0471,,FourStar,new jersey,"Absecon,   New Jersey",Eastern
Wampler House Bed & Breakfast,4905 South Rogers Street Bloomington ,812-824-2446,303-681-5180,,ThreeStar,indiana,"Bloomington,   Indiana",Eastern
Surf & Turf Lounge,741 East Washington Street Charles TownWest Virginia 25414 ,304-725-6106,304-725-2081,,TwoStar,west virginia,"Charles Town,   West Virginia",Eastern
Seaport Inn,329 William Street Key WestFlorida 33040 ,800-869-4639,305-294-3480,,TwoStar,florida,"Key West,   Florida",Eastern
Ocean Reserve Condominium,19370 Collins Avenue Sunny Isles BeachFlorida 33160 ,786-285-7104,305-792-1331,,All,florida,"Miami Beach,   Florida",Eastern
Hialeah Executive Motel,131 West Okeechobee Road HialeahMiami-DadeFlorida 33010 ,305-887-2718,305-884-1060,,TwoStar,florida,"Hialeah,   Florida",Eastern
Monster Lake Ranch,29 Nielson Road CodyWyoming 82414 ,307-587-5960,307-587-5963,,ThreeStar,new jersey,"Cody,   New Jersey",Eastern
Garden Gate Get-A-Way,6041 Township Road 310 MillersburgOhio 44654 ,330-674-7608,330-674-5449,,ThreeStar,ohio,"Millersburg,   Ohio",Eastern
Sunbird Condos,9850 South Thomas Drive Panama City BeachFlorida 32408 ,423-987-6678,334-501-8562,,All,florida,"Panama City,   Florida",Eastern
Castle Reef,4175 South Atlantic Ave New Smyrna BeachFlorida 32169 ,386-427-5252,386-427-5252,,ThreeStar,florida,"Daytona Beach,   Florida",Eastern
Pelham Street Inn,29 Pelham Street Newport ,401-845-9400,401-302-6728,,All,rhode island,"Newport,   Rhode Island",Eastern
Windsome Bed & Breakfast,81 Gibbs Avenue NewportRhode Island 02840 ,401-846-3736,401-855-1597,,ThreeStar,rhode island,"Newport,   Rhode Island",Eastern
Manley Guest House,405 Bankside court McdonoughGeorgia 30252 ,770-471-7083,404-310-3074,,ThreeStar,georgia,"Griffin,   Georgia",Eastern
Paradise Palms by CND Holiday Homes,8950 Paradise Palms Boulevard Kissimmee ,407-219-9290,407-433-1745,,All,florida,"Kissimmee,   Florida",Eastern
American Vacation Homes,12211 Regency Village Drive Suite 12OrlandoFlorida 32821 ,407-465-2260,407-465-2261,,ThreeStar,florida,"Orlando,   Florida",Eastern
Reunion Resort by Intteli Fun Rentals,Whisper Way Kissimmee ,407-690-8316,407-588-0808,,FourStar,florida,"Kissimmee,   Florida",Eastern
InTown Suites Orlando North,736 Lee Road OrlandoFlorida 32810 ,407-645-1519,407-645-1117,,TwoStar,florida,"Orlando,   Florida",Eastern
Belmont Towers,2 Dorchester Street Ocean CityMaryland 21842 ,800-555-4099,410-723-1780,,ThreeStar,maryland,"Ocean City,   Maryland",Eastern
Lily's Lodge,9 Norman Street West Springfield ,413-537-0598,413-739-8423,,All,massachusetts,"Springfield,   Massachusetts",Eastern
Linville Falls Campground & Cabins A Cruise Inn Park,717 Gurney Franklin Rd. Linville FallsNorth Carolina 28647 ,828-765-2681,417-448-9615,,TwoStar,north carolina,"Boone,   North Carolina",Eastern
Islander Inn,225 Erie Street Put-In-BayOhio 43456 ,877-500-7829,419-285-7829,,All,ohio,"Put-In-Bay,   Ohio",Eastern
B & J Motel,1107 East Franklin Street KentonOhio 43326 ,419-673-1248,419-673-1247,,TwoStar,ohio,"Kenton,   Ohio",Eastern
Central Park B&B,1353 South Fourth Street Louisville 40208 ,502-638-1505,502-777-3946,,ThreeStar,kentucky,"Louisville,   Kentucky",Eastern
The Nantucket Hotel & Resort,77 Easton Street NantucketMassachusetts 02554 ,508-228-4747,508-310-1734,,FiveStar,massachusetts,"Nantucket,   Massachusetts",Eastern
Windjammer Motel,192 South Shore Drive MA 02664 South Yarmouth ,800-448-9744,508-398-2370,,TwoStar,massachusetts,"South Yarmouth,   Massachusetts",Eastern
Cape Cod Claddagh Inn,77 Route 28 West Harwich 02671 ,508-432-6333,508-432-9628,,ThreeStar,massachusetts,"West Harwich,   Massachusetts",Eastern
Columbia River Ranch,2500 Columbia River Road OkanoganWashington 98840 ,425-652-6172,509-557-3134,,All,district of columbia,"Washington,   District of Columbia",Eastern
Paradise Palms Resort by RedAwning,8950 Paradise Palms Boulevard Kissimmee ,888-733-2964,510-404-8220,,FourStar,florida,"Kissimmee,   Florida",Eastern
Towneplace Suites Jackson,2002 Bondsteel Drive Jackson ,517-780-0065,517-780-0067,,TwoStar,michigan,"Jackson,   Michigan",Eastern
Tumble Inn,875 Route 9 Schroon LakeNew York 12870 ,518-351-5020,518-532-7605,,TwoStar,new york,"Schroon Lake,   New York",Eastern
Acra Manor Resort,487 Old Route 23 AcraNew York 12405 ,800-933-2272,518-622-3253,,FourStar,new york,"Acra,   New York",Eastern
Alpenhaus Motel Queensbury,851 State Route 9 QueensburyNew York 12804 ,518-792-6941,518-792-7772,,TwoStar,new york,"Queensbury,   New York",Eastern
Budget Inn Lake George,"932, Route 9 Queensbury 12804New York ",518-793-0001,518-792-9576,,TwoStar,new york,"Queensbury,   New York",Eastern
Wolffs Maple Breeze Resort,"360 Cauterskill Road CatskillNew York, NY 12414 ",800-777-9653,518-943-3648,,TwoStar,new york,"Catskill,   New York",Eastern
Cliff View Inn,106 Goldenrod Drive CovingtonVirginia 24426 ,540-962-2200,540-958-5325,,All,virginia,"Covington,   Virginia",Eastern
The Wellington Lake Cottage,7420 North 1160 West MiddleburyIndiana 46540 ,574-537-0043,574-596-8692,,ThreeStar,pennsylvania,"Indiana,   Pennsylvania",Eastern
Oakwood Lake Mary,1050 Colonial Grand Lane Lake MaryFlorida 32746-4722 ,877-902-0832,602-427-2781,,ThreeStar,florida,"Lake Mary,   Florida",Eastern
Elk Creek Resort,8220 Elk Creek Road Piedmont ,605-787-6477,605-787-4884,,TwoStar,florida,"Piedmont,   Florida",Eastern
Cook Mansion Bed and Breakfast,203 South Genessee Street Montour FallsNew York 14865 ,315-694-5025,607-210-4483,,TwoStar,new york,"Montour Falls,   New York",Eastern
Atlantic Palace,1507 Boardwalk Atlantic CityNew Jersey 08401 ,609-344-1200,609-344-8800,,All,new jersey,"Atlantic City,   New Jersey",Eastern
Inn at Lambertville Station,11 Bridge Street 8530 Lambertville ,609-397-8300,609-397-4400,,FourStar,new jersey,"Lambertville,   New Jersey",Eastern
Sea Chest Motel,7401 Atlantic Avenue Wildwood CrestNew Jersey 08260 ,856-371-4559,609-522-1356,,TwoStar,new jersey,"Wildwood Crest,   New Jersey",Eastern
Sunflower Motel,313 East Glenwood Avenue WildwoodNew Jersey 08260 ,609-522-8241,609-522-9509,,ThreeStar,new jersey,"Wildwood,   New Jersey",Eastern
Coastal Suites Resort,171 Center Street BeulahMichigan 49617 ,231-383-4116,616-862-9874,,TwoStar,michigan,"Beulah,   Michigan",Eastern
Tioga Lodge at Mono Lake,54411 US Highway 395 PO Box 580Lee ViningCalifornia 93541 ,760-647-6423,619-320-8868,,ThreeStar,maryland,"California,   Maryland",Eastern
Dee Jay Beach Resort,4617 El Mar Drive Lauderdale By The SeaFlorida 33308 ,954-772-0018,631-748-0733,,TwoStar,florida,"Fort Lauderdale,   Florida",Eastern
Gramercy Townhouse,206 East 20th Street New YorkNew York 10003 ,646-387-8848,646-948-9977,,ThreeStar,new york,"New York,   New York",Eastern
Adair Manor Bed and Breakfast,110 Church Street AdairsvilleGeorgia 30103 ,770-769-9585,678-910-1386,,ThreeStar,georgia,"Adairsville,   Georgia",Eastern
Moon Inn,6140 Richmond Highway AlexandriaVirginia 22303 ,703-347-9076,703-347-9069,,All,virginia,"Alexandria,   Virginia",Eastern
InTown Suites Athens,2044 South Milledge Drive AthensGeorgia 30605 ,706-355-3121,706-208-8812,,TwoStar,georgia,"Athens,   Georgia",Eastern
Rustridge B&B Winery,2910 Lower Chiles Valley Road St. Helena ,707-965-9353,707-286-5502,,All,maryland,"California,   Maryland",Eastern
Lake In Wood Camping Resort,576 Yellow Hill Road NarvonPennsylvania 17555 ,877-371-2426,717-445-5525,,TwoStar,pennsylvania,"Lancaster,   Pennsylvania",Eastern
The Hotel Hershey ,100 Hotel Road HersheyPennsylvania 17033 ,844-330-1711,717-533-2171,,FourStar,pennsylvania,"Hershey,   Pennsylvania",Eastern
Inn of the Dove  Harrisburg,2225 Kohn Road HarrisburgPennsylvania 17110 ,717-540-5540,717-540-9318,,ThreeStar,pennsylvania,"Harrisburg,   Pennsylvania",Eastern
Vintin Hotel,2349 Central Avenue Saint PetersburgFlorida 33713 ,855-534-9333,727-228-0626,,TwoStar,florida,"St. Petersburg,   Florida",Eastern
The Sails Resort Apartment Motel,17004 Gulf Boulevard North Redington BeachFlorida 33708 ,727-391-6000,727-391-6000,,ThreeStar,florida,"North Reddington Beach,   Florida",Eastern
Island House,17103 Gulf Boulevard N. Redington Beach 33708Florida ,727-392-2241,727-392-2241,,TwoStar,florida,"North Reddington Beach,   Florida",Eastern
The Beacon House,100 & 104 Beacon Boulevard Sea GirtNew Jersey 08750 ,866-255-0005,732-449-5835,,All,new jersey,"Sea Girt,   New Jersey",Eastern
Seahawk Motel,2525 Atlantic Avenue Virginia BeachVirginia 23451 ,757-428-1296,757-428-1296,,TwoStar,virginia,"Virginia Beach,   Virginia",Eastern
War Hill Inn,4560 Longhill Rd WilliamsburgVirginia 23188 ,800-743-0248,757-565-0248,,ThreeStar,virginia,"Williamsburg,   Virginia",Eastern
A Primrose Cottage,16538 Chickahominy Bluff Road WilliamsburgVirginia 23185 ,804-829-5441,757-876-4251,,All,virginia,"Williamsburg,   Virginia",Eastern
Sherwin Villas,362 Old Mammoth Road Mammoth LakesCalifornia 93546 ,760-934-6808,760-934-0073,,ThreeStar,maryland,"California,   Maryland",Eastern
Las Brisas by TRS,13030 Gulf Boulevard Madeira BeachFlorida 33708 ,727-393-3425,800-237-6586,,TwoStar,florida,"Madeira Beach,   Florida",Eastern
Maridel Motel,101 42nd Street & Coastal Highway Ocean CityMarylamd 21842 ,410-289-7665,800-333-1734,,TwoStar,maryland,"Ocean City,   Maryland",Eastern
Murphey's Motel,51493 Highway 395 PO Box 57Lee ViningCalifornia 93541 ,760-647-6316,800-334-6316,,All,maryland,"California,   Maryland",Eastern
Southernmost Hotel in the USA,1319 Duval Street 33040 Key WestFlorida ,305-296-6577,800-354-4455,,ThreeStar,florida,"Key West,   Florida",Eastern
Gulf Breeze 6 Bedroom Holiday Home by Five Star Properties,1513 Scenic Gulf Drive 32550 Miramar Beach ,800-208-2324,800-385-3216,,FourStar,florida,"Miramar Beach,   Florida",Eastern
Old Granite Inn Bed & Breakfast,546 Main Street RocklandMaine 04841 ,207-594-9036,800-386-9036,,ThreeStar,north carolina,"Rockland,   North Carolina",Eastern
Kenilworth Lodge,1610 Lakeview Drive SebringFlorida 33870 ,863-385-0111,800-423-5939,,TwoStar,florida,"Sebring,   Florida",Eastern
Breakwater Motel,716 Commercial Street ProvincetownMassachusetts 02657 ,508-487-1134,800-487-1134,,ThreeStar,massachusetts,"Provincetown,   Massachusetts",Eastern
Sunrise Ocean Suites,1231 Hillsboro Mile Hillsboro BeachFlorida 33062 ,954-426-2525,800-498-2773,,TwoStar,florida,"Fort Lauderdale,   Florida",Eastern
Hotel Catalinas Courtyard Garden Suites,108 Marilla Avenue AvalonCalifornia 90704 ,310-510-0027,800-540-0184,,All,maryland,"California,   Maryland",Eastern
Willard Street Inn,349 South Willard Street BurlingtonVermont 05401 ,802-651-8710,800-577-8712,,ThreeStar,vermont,"Burlington,   Vermont",Eastern
Barefoot Trace,6240 A1A South St AugustineFlorida 32080 ,800-806-5562,800-587-2287,,FourStar,florida,"St. Augustine,   Florida",Eastern
Sunnyside Motel And Cottages,1441 State Highway 3 Bar HarborMaine 04609 ,207-288-3602,800-593-3605,,TwoStar,north carolina,"Bar Harbor,   North Carolina",Eastern
Inn at Mills Falls,312 Daniel Webster Highway 03253 MeredithNew Hampshire ,603-279-7006,800-622-6455,,ThreeStar,new hampshire,"Meredith,   New Hampshire",Eastern
Baileys Mills Bed & Breakfast,1347 Baileys Mills Road ReadingVT 05062 ,802-484-7809,800-639-3437,,ThreeStar,vermont,"Ludlow,   Vermont",Eastern
Elmwood Resort Hotel,1351 Post Road WellsMaine 04090 ,207-646-1038,800-697-8566,,FourStar,north carolina,"Wells,   North Carolina",Eastern
Olde Beau Resort And Golf Club,729 Olde Beau Blvd Glade ValleyNorth Carilina 28668 ,336-363-3333,800-752-1634,,ThreeStar,north carolina,"Glade Valley,   North Carolina",Eastern
Arvilla Resort Motel,11580 Gulf Boulevard Treasure IslandFlorida 33706 ,727-360-0598,800-811-5825,,All,florida,"Treasure Island,   Florida",Eastern
Inn 32,180 Main Street North WoodstockNew Hampshire 03262 ,603-745-2416,800-822-7666,,TwoStar,new hampshire,"North Woodstock,   New Hampshire",Eastern
Gulfside Resort,565 70th Avenue St Pete BeachFlorida 33706 ,727-360-7640,800-823-9552,,All,florida,"St. Pete Beach,   Florida",Eastern
Berlin Village Inn,5135 State Route 39 P.O. Box 386BerlinOhio 44610 ,330-893-2861,800-869-7571,,TwoStar,ohio,"Millersburg,   Ohio",Eastern
Outer Banks Motel Cape and Tower Cottages,46025 Cottage Avenue BuxtonNorth Carolina 27920 ,252-995-5601,800-995-1233,,ThreeStar,north carolina,"Buxton,   North Carolina",Eastern
The Waitsfield Inn,5267 Main Street Route 100PO Box 969Waitsfield ,802-496-3979,802-496-3970,,TwoStar,vermont,"Waitsfield,   Vermont",Eastern
Fairfield Inn & Suites Richmond Airport,5252 Airport Square Lane Sandston ,804-226-1100,804-226-6959,,ThreeStar,virginia,"Richmond,   Virginia",Eastern
Richmond Inn & Suites,6346 Midlothian Turnpike RichmondVirginia 23225 ,804-276-5417,804-276-8500,,TwoStar,virginia,"Richmond,   Virginia",Eastern
Dennison Street Inn  Bed & Breakfast,100 Dennison Street Colonial BeachVirginia 22443 ,800-210-0769,804-410-2855,,All,virginia,"Colonial Beach,   Virginia",Eastern
Biddle Hotel,900 East Seventh Street BloomingtonIndiana 47405 ,800-209-8145,812-856-6381,,ThreeStar,indiana,"Bloomington,   Indiana",Eastern
The Leavenworth Inn,930 West State Road 62 LeavenworthIndiana 47137PO Box 9 ,812-739-2120,812-972-8938,,ThreeStar,pennsylvania,"Indiana,   Pennsylvania",Eastern
Fairfield Inn & Suites Tampa Wesley Chapel,2650 Lajuana Boulevard Wesley Chapel ,813-536-1818,813-536-1819,,TwoStar,florida,"Tampa,   Florida",Eastern
Brandon Motor Lodge,906 East Brandon Boulevard BrandonFlorida 33511 ,813-689-1261,813-685-0975,,TwoStar,florida,"Brandon,   Florida",Eastern
Bed & Breakfast At The Rock Garden,176 Brush Valley Road BoalsburgPennsylvania 16827-1025 ,814-466-6100,814-466-2038,,ThreeStar,pennsylvania,"Boalsburg,   Pennsylvania",Eastern
Chetola Resort Condominiums,185 Chetola Lake Drive PO Box 17Blowing RockNorth Carolina 28605 ,828-295-5509,828-295-5500,,ThreeStar,north carolina,"Blowing Rock,   North Carolina",Eastern
Dillsboro Inn,146 North River Road PO Box 270DillsboroNorth Carolina 28725 ,828-586-3898,828-586-3898,,TwoStar,north carolina,"Cherokee,   North Carolina",Eastern
Broad River Inn,339 Main Street P.O.Box 100Chimney RockNorth Carolina 28720 ,828-625-8870,828-606-4488,,All,north carolina,"Forest City,   North Carolina",Eastern
Ocean Waves Hotel,2808 South Ocean Boulevard Myrtle BeachSouth Carolina 29577 ,843-712-2066,843-712-1927,,TwoStar,south carolina,"Myrtle Beach,   South Carolina",Eastern
4307 Windswept Villa,4307 Sea Forest Drive WindsweptEast BeachKiawah Island ,888-909-8110,843-768-4545,,ThreeStar,south carolina,"Charleston,   South Carolina",Eastern
Kingston Cove,Kingston Road Shipyard PlantationHilton Head Island 29928South Carolina ,843-842-2201,843-842-3677,,ThreeStar,south carolina,"Hilton Head Island,   South Carolina",Eastern
Gulf Gate,8200 Surf Drive Panama City BeachFlorida 32408 ,866-587-9555,850-234-3623,,All,florida,"Panama City,   Florida",Eastern
Sandestin Golf & Beach Resort - Lakeside,9300 Emerald Coast Parkway West Miramar BeachFlorida 32550 ,888-733-2964,850-267-8000,,All,florida,"Miramar Beach,   Florida",Eastern
Days Inn Pensacola,Pensacola Florida ,850-476-7200,850-476-1277,,ThreeStar,florida,"Pensacola,   Florida",Eastern
Waterscape by RealJoy,1110 Santa Rosa Boulevard Fort Walton Beach ,850-974-0974,850-588-4616,,All,florida,"Ft. Walton,   Florida",Eastern
Grand Caribbean,3291 Scenic Highway 98 DestinFlorida 32541 ,850-650-2280,850-650-7000,,All,florida,"Destin,   Florida",Eastern
Palazzo Condominiums,17281 Front Beach Road Panama City BeachFlorida 32413 ,850-865-1783,850-685-2851,,ThreeStar,florida,"Panama City,   Florida",Eastern
Surfside Resort,1096 Scenic Gulf Drive Miramar BeachFlorida 32550 ,888-909-6807,850-837-4700,,All,florida,"Miramar Beach,   Florida",Eastern
Silver Dunes Condominium,1030 East Highway 98 DestinFlorida 32541 ,850-837-6104,850-837-6287,,ThreeStar,florida,"Destin,   Florida",Eastern
Pinehurst Resort,80 Carolina Vista Drive PinehurstNorth Carolina 28374 ,877-907-6242,855-235-8507,,FourStar,north carolina,"Pinehurst,   North Carolina",Eastern
Long Beach Resort,10511 Front Beach Road Panama City BeachFlorida 32407 ,850-233-4544,855-512-3843,,TwoStar,florida,"Panama City,   Florida",Eastern
Pelican Beach Resort & Conference Center,1002 U.S. 98 DestinFlorida 32541 ,850-654-1425,855-812-2282,,All,florida,"Destin,   Florida",Eastern
Shore Road Inn,436 Shore Road Old LymeConnecticut 06371 ,860-434-1022,860-662-4090,,TwoStar,connecticut,"Old Lyme,   Connecticut",Eastern
Walnut Lane Inn Bed and Breakfast,110 Ridge Road LymanSouth Carolina 29365 ,864-949-7230,864-949-1633,,ThreeStar,south carolina,"Lyman,   South Carolina",Eastern
Beachcomber Cottages on Vilano,10A & 10B & 40 Beachcomber Way St AugustineFlorida 32084 ,904-824-4301,866-256-5887,,ThreeStar,florida,"St. Augustine,   Florida",Eastern
Riviera Lodge,104 East Saratoga PO Box 21582331 Saratoga ,307-326-5651,866-326-5651,,TwoStar,maryland,"California,   Maryland",Eastern
Hocking Hills Cabins & Resort,15122 State Route 664 Logan ,614-245-8267,866-724-2928,,All,ohio,"Athens,   Ohio",Eastern
Grande Shores Ocean Resort Condos,201 77th Avenue North Myrtle BeachSouth Carolina 29572 ,855-707-4712,866-812-3373,,ThreeStar,south carolina,"Myrtle Beach,   South Carolina",Eastern
Marylander Hotel Condo,6 127th Street Ocean CityMaryland 21842 ,410-250-9920,866-879-6130,,FourStar,maryland,"Ocean City,   Maryland",Eastern
Sandbridge Vacation Homes,Sandpiper Road Virginia BeachVirginia 23456 ,757-457-0050,866-933-4801,,ThreeStar,virginia,"Virginia Beach,   Virginia",Eastern
Atlantic,31 River Court Jersey CityNew Jersey 07310 ,844-712-3727,877-408-2349,,All,new jersey,"Jersey City,   New Jersey",Eastern
Pine Haven Camping Resort,2339 North Route 9 Cape May Court HouseNew Jersey 08210 ,609-624-3437,877-463-4860,,All,new jersey,"Cape May,   New Jersey",Eastern
Florint Pool Homes,28 8810 Commodity Circle OrlandoFlorida 32819 ,321-319-0802,877-486-8226,,ThreeStar,florida,"Kissimmee,   Florida",Eastern
Palmetto Sands,"22 New Orleans Road, Suite 2 29928 Hilton Head ",843-689-5900,877-597-2637,,All,south carolina,"Hilton Head Island,   South Carolina",Eastern
Dare Devil II - Outer Banks Vacation Home,4246 North Virginia Dare Trail located at Mile Post 3 1/2Kitty HawkNorth Carolina 27949 ,252-261-2186,877-642-3224,,ThreeStar,north carolina,"Kitty Hawk Beach,   North Carolina",Eastern
Ship's Inn Resort,15 A Street Hampton Beach 03874New Hampshire ,603-926-1655,877-744-7466,,All,new hampshire,"Hampton,   New Hampshire",Eastern
S.R Hotel by Spinnaker Resorts,35 Deallyon Avenue Hilton Head IslandSouth Carolina 29928 ,843-785-3355,877-842-3201,,All,south carolina,"Hilton Head Island,   South Carolina",Eastern
Autumn Ridge,PO Box 386 LexingtonVirginia 24450 ,540-463-3387,877-900-3387,,TwoStar,virginia,"Lexington,   Virginia",Eastern
1847 Blake House Inn Bed & Breakfast,150 Royal Pines Drive AshevilleNorth Carolina 28704 ,828-681-5227,888-353-5227,,ThreeStar,north carolina,"Arden,   North Carolina",Eastern
Paradise Palms by Global Resort Homes,8950 Paradise Palms Boulevard Kissimmee ,407-387-3030,888-426-0472,,FiveStar,florida,"Kissimmee,   Florida",Eastern
Island Princess,520 Santa Rosa Boulevard Fort Walton BeachFlorida 32548 ,850-986-7600,888-909-6807,,ThreeStar,florida,"Ft. Walton,   Florida",Eastern
Hatteras Sands Campground,57316 Eagle Pass Road HatterasNorth Carolina 27943 ,252-986-2422,888-987-2225,,TwoStar,north carolina,"Hatteras,   North Carolina",Eastern
Ocean Village Club,A1A South St. AugustineFlorida 32080 ,904-471-7513,904-471-6606,,All,florida,"St. Augustine,   Florida",Eastern
Ocean Villas,850 A1A Beach Boulevard St. AugustineFlorida 32080 ,443-562-9820,904-471-9259,,ThreeStar,florida,"St. Augustine,   Florida",Eastern
Snowbird Landing,120 Primo Drive Fort Myers BeachFlorida 33931 ,888-506-9003,904-853-3319,,ThreeStar,florida,"Fort Myers,   Florida",Eastern
The Country Inn,15099 US Highway 17 TownsendGeorgia 31331 ,912-832-2400,912-424-8009,,All,georgia,"Brunswick,   Georgia",Eastern
Relax Inn,3436 2nd Street South FolkstonGeorgia 31537 ,912-496-2514,912-496-6102,,TwoStar,georgia,"Folkston,   Georgia",Eastern
Ocean Walk Condominium,850 Mallory Street Saint Simons IslandGeorgia ,912-638-3392,912-638-6092,,All,georgia,"Brunswick,   Georgia",Eastern
Hotel Chelsea Cabins,370 8th Ave 3rd floor ChelseaNew York 10001 ,516-754-4343,917-488-3932,,TwoStar,new york,"New York,   New York",Eastern
Northern Lights Mansion,210 West 122nd Street New YorkNew York 10027 ,212-866-4411,917-658-8648,,ThreeStar,new york,"New York,   New York",Eastern
Hamptons Brazil Guest House,"26 Royal Street East Hampton, NY 11937 ",631-324-5132,917-833-6838,,TwoStar,new york,"East Hampton,   New York",Eastern
Logan Lodge Motel,2551 South US Highway 68 UrbanaOhio 43078 ,937-652-2188,937-652-2189,,TwoStar,ohio,"Sidney,   Ohio",Eastern
Gulf and Bay Club,5730 - 5790 Midnight Pass Road Siesta KeyFlorida 34242Sarasota ,941-413-5242,941-349-3000,,All,florida,"Sarasota,   Florida",Eastern
The Waves Apartments & Resort,317 Oak Street HollywoodFlorida 33019 ,954-381-1069,954-381-1072,,ThreeStar,florida,"Hollywood Beach/Fort Lauderdale,   Florida",Eastern
Marlin Beachside Hotel,311 Nebraska Street HollywoodFlorida 33019 ,954-367-5556,954-391-7354,,TwoStar,florida,"Hollywood Beach/Fort Lauderdale,   Florida",Eastern
Holiday Inn Express & Suites - Jersey City - Holland Tunnel,"180 14th Street, Jersey City, NJ 07310, United States  ",201-201-7300,,,TwoStar,new jersey,"Jersey City,   New Jersey",Eastern
Chateau Rooms,15 Allens Alley Bolton LandingNew York 12814 ,201-206-8442,,,FourStar,new york,"Bolton Landing,   New York",Eastern
70 Greene Apartments,70 Greene St Jersey City Nj 07302 Usa Jersey CityNew Jersey 07302 ,201-209-1894,,,FourStar,new jersey,"Jersey City,   New Jersey",Eastern
Residence Inn Jersey City,80 Christopher Columbus Drive Jersey CityNew Jersey 07302 ,201-222-5500,,,ThreeStar,new jersey,"Jersey City,   New Jersey",Eastern
Marbella,425 Washington Boulevard Jersey CityNew Jersey 07310 ,201-222-6600,,,FourStar,new jersey,"Jersey City,   New Jersey",Eastern
Residence Inn Secaucus Meadowlands,800 Plaza Drive SecaucusNew Jersey 07094 ,201-223-9901,,,ThreeStar,new jersey,"Jersey City,   New Jersey",Eastern
